Date,Machine_ID,Shift,Plant_Location,Planned_Production_Time,Downtime,Ideal_Cycle_Time,Downtime_Reason,Operating_Time,Total_Production,Defective_Production,Good_Production
2024-04-12,M3,B,Chennai,478,44.0,1.4576602836135888,Power Failure,434.0,252,8.0,244
2024-12-14,M1,C,Pune,447,98.0,0.9440648554652803,Maintenance,349.0,301,11.0,290
2024-09-27,M4,A,Pune,465,23.0,0.9386725230349421,Power Failure,442.0,425,10.0,415
2024-04-16,M3,B,Mumbai,425,61.0,1.2053619257007964,Setup,364.0,249,11.0,238
2024-03-12,M1,C,Pune,466,90.0,0.9805045078032586,Maintenance,376.0,324,11.0,313
2024-07-07,M2,B,Chennai,433,41.0,0.8065156764784349,Power Failure,392.0,389,41.0,348
2024-01-21,M1,A,Pune,426,100.0,0.8299195312295117,Setup,326.0,368,13.0,355
2024-04-12,M4,C,Chennai,429,59.0,0.9617172338858195,Setup,370.0,286,8.0,278
2024-05-01,M4,B,Mumbai,434,36.8,0.8466000979617994,Breakdown,397.2,392,7.0,385
2024-08-02,M4,C,Chennai,450,22.0,0.9368898096926395,Power Failure,428.0,360,8.0,352
2024-11-26,M4,A,Pune,448,52.0,0.89979745275496,Power Failure,396.0,392,10.0,382
2024-03-28,M4,C,Chennai,461,66.69999999999999,0.9864564288141562,Breakdown,394.3,311,4.0,307
2024-04-09,M3,A,Chennai,473,36.0,1.5420921453376275,Setup,437.0,237,6.0,231
2024-12-25,M4,B,Pune,436,57.0,0.8620003705564611,Power Failure,379.0,363,9.0,354
2024-05-31,M3,A,Chennai,478,34.5,1.2199615683643592,Breakdown,443.5,325,11.0,314
2024-05-10,M2,B,Pune,470,67.85,0.9383985044113489,Breakdown,402.15,348,46.0,302
2024-05-29,M4,B,Mumbai,448,34.0,0.8801178714639623,Setup,414.0,419,8.0,411
2024-11-04,M4,A,Chennai,468,37.0,0.9582319374180137,Setup,431.0,425,9.0,416
2024-09-14,M1,B,Mumbai,463,109.0,0.9418781490502257,Power Failure,354.0,342,13.0,329
2024-12-09,M2,C,Chennai,434,63.0,0.8327419305018101,Power Failure,371.0,361,30.0,331
2024-10-20,M4,B,Chennai,445,23.0,0.9728953807235656,Maintenance,422.0,355,5.0,350
2024-07-10,M4,A,Mumbai,431,36.0,0.8081991821216229,Setup,395.0,443,,431
2024-10-03,M2,C,Chennai,444,42.0,0.9449418974928755,Maintenance,402.0,346,38.0,308
2024-06-09,M3,C,Chennai,460,46.0,1.346157815449236,Maintenance,414.0,228,8.0,220
2024-11-09,M4,B,Mumbai,424,40.25,0.8045843146299274,Breakdown,383.75,403,10.0,393
2024-01-22,M1,B,Chennai,423,106.94999999999999,0.9160858504686825,Breakdown,316.05,291,9.0,282
2024-09-09,M4,A,Pune,463,53.0,0.8935628592361944,Power Failure,410.0,388,6.0,382
2024-08-23,M1,C,Chennai,467,89.0,0.8022441779954925,Setup,378.0,380,9.0,371
2024-12-10,M1,A,Chennai,460,135.0,0.8475848324489967,Setup,325.0,369,14.0,355
2024-02-18,M4,B,Chennai,476,52.0,0.838832415482902,Maintenance,424.0,438,8.0,430
2024-02-28,M4,C,Mumbai,450,28.0,0.8379295260039074,Maintenance,422.0,382,5.0,377
2024-06-18,M1,A,Pune,422,83.0,0.9405693414353699,Power Failure,339.0,321,11.0,310
2024-07-06,M2,A,Pune,472,79.35,0.8737769244748012,Breakdown,392.65,386,38.0,348
2024-09-27,M2,A,Chennai,422,76.0,0.9501194725014642,Setup,346.0,329,48.0,281
2024-07-08,M4,A,Mumbai,445,50.0,0.9259767407342399,Setup,395.0,407,10.0,397
2024-06-23,M3,A,Mumbai,469,66.0,1.2218958543639746,Setup,403.0,300,12.0,288
2024-02-20,M2,C,Pune,436,67.0,0.9305446879111346,Setup,369.0,322,37.0,285
2024-12-29,M4,A,Mumbai,479,60.949999999999996,0.9764506246685195,Breakdown,418.05,381,6.0,375
